FID,Shape,地名,区划码,地级,地级码,地级类,省级,省级码,省级类,曾用名,备注,ENG_NAME
282,面,乌兰察布市,150900,乌兰察布市,150900,地级市,内蒙古自治区,150000,自治区,乌兰察布市,2003年乌兰察布盟更名为乌兰察布市,Wulanchabu
283,面,乌鲁木齐市,650100,乌鲁木齐市,650100,地级市,新疆维吾尔自治区,650000,自治区, , ,Wulumuqi
284,面,无锡市,320200,无锡市,320200,地级市,江苏省,320000,省, , ,Wuxi
285,面,芜湖市,340200,芜湖市,340200,地级市,安徽省,340000,省, , ,Wuhu
286,面,吴忠市,640300,吴忠市,640300,地级市,宁夏回族自治区,640000,自治区, , ,Wuzhong
287,面,梧州市,450400,梧州市,450400,地级市,广西壮族自治区,450000,自治区, , ,Wuzhou
288,面,五家渠市,659004,不统计,0,不统计,新疆维吾尔自治区,650000,自治区, , ,Wujiaqu
289,面,五指山市,469001,不统计,0,不统计,海南省,460000,省, , ,Wuzhishan
290,面,武汉市,420100,武汉市,420100,地级市,湖北省,420000,省, , ,Wuhan
291,面,武威市,620600,武威市,620600,地级市,甘肃省,620000,省,武威地区,2001年武威地区更名为武威市,Wuwei
292,面,西安市,610100,西安市,610100,地级市,陕西省,610000,省, , ,Xian
293,面,西宁市,630100,西宁市,630100,地级市,青海省,630000,省, , ,Xining
294,面,西双版纳傣族自治州,532800,西双版纳傣族自治州,532800,自治州,云南省,530000,省, , ,Xishuangbannadaizu
295,面,锡林郭勒盟,152500,锡林郭勒盟,152500,盟,内蒙古自治区,150000,自治区, , ,Xilinguole
296,面,仙桃市,429004,不统计,0,不统计,湖北省,420000,省, , ,Xiantao
297,面,咸宁市,421200,咸宁市,421200,地级市,湖北省,420000,省, , ,Xianning
298,面,咸阳市,610400,咸阳市,610400,地级市,陕西省,610000,省, , ,Xianyang
299,面,香港特别行政区,810000,不统计,0,不统计,香港特别行政区,810000,特别行政区, , ,HongKong
300,面,湘潭市,430300,湘潭市,430300,地级市,湖南省,430000,省, , ,Xiangtan
301,面,湘西土家族苗族自治州,433100,湘西土家族苗族自治州,433100,自治州,湖南省,430000,省, , ,Xiangxitujiazumiaozu
302,面,襄阳市,420600,襄阳市,420600,地级市,湖北省,420000,省,襄樊市,2011年襄樊市更名为襄阳市,Xiangyang
303,面,孝感市,420900,孝感市,420900,地级市,湖北省,420000,省, , ,Xiaogan
304,面,忻州市,140900,忻州市,140900,地级市,山西省,140000,省,忻州地区,2000年撤销忻州地区，设立忻州市,Xinzhou
305,面,新乡市,410700,新乡市,410700,地级市,河南省,410000,省, , ,Xinxiang
306,面,新余市,360500,新余市,360500,地级市,江西省,360000,省, , ,Xinyu
307,面,信阳市,411500,信阳市,411500,地级市,河南省,410000,省, , ,Xinyang
308,面,邢台市,130500,邢台市,130500,地级市,河北省,130000,省, , ,Xingtai
309,面,兴安盟,152200,兴安盟,152200,盟,内蒙古自治区,150000,自治区, , ,Xingan
310,面,许昌市,411000,许昌市,411000,地级市,河南省,410000,省, , ,Xuchang
311,面,宣城市,341800,宣城市,341800,地级市,安徽省,340000,省,宣城地区,2000年撤销宣城地区，设立宣城市,Xuancheng
312,面,雅安市,511800,雅安市,511800,地级市,四川省,510000,省, , ,Yaan
313,面,烟台市,370600,烟台市,370600,地级市,山东省,370000,省, , ,Yantai
314,面,延安市,610600,延安市,610600,地级市,陕西省,610000,省, , ,Yanan
315,面,延边朝鲜族自治州,222400,延边朝鲜族自治州,222400,自治州,吉林省,220000,省, , ,Yanbianchaoxianzu
316,面,盐城市,320900,盐城市,320900,地级市,江苏省,320000,省, , ,Yancheng
317,面,扬州市,321000,扬州市,321000,地级市,江苏省,320000,省, , ,Yangzhou
318,面,阳江市,441700,阳江市,441700,地级市,广东省,440000,省, , ,Yangjiang
319,面,阳泉市,140300,阳泉市,140300,地级市,山西省,140000,省, , ,Yangquan
320,面,伊春市,230700,伊春市,230700,地级市,黑龙江省,230000,省, , ,Yichun
321,面,伊犁哈萨克自治州,654000,伊犁哈萨克自治州,654000,自治州,新疆维吾尔自治区,650000,自治区, , ,Yilihasake
322,面,宜宾市,511500,宜宾市,511500,地级市,四川省,510000,省, , ,Yibin
323,面,宜昌市,420500,宜昌市,420500,地级市,湖北省,420000,省, , ,Yichang
324,面,宜春市,360900,宜春市,360900,地级市,江西省,360000,省,宜春市,2000年撤销宜春地区，设立宜春市,Yichun
325,面,益阳市,430900,益阳市,430900,地级市,湖南省,430000,省, , ,Yiyang
326,面,银川市,640100,银川市,640100,地级市,宁夏回族自治区,640000,自治区, , ,Yinchuan
327,面,鹰潭市,360600,鹰潭市,360600,地级市,江西省,360000,省, , ,Yingtan
328,面,营口市,210800,营口市,210800,地级市,辽宁省,210000,省, , ,Yingkou
329,面,永州市,431100,永州市,431100,地级市,湖南省,430000,省, , ,Yongzhou
330,面,榆林市,610800,榆林市,610800,地级市,陕西省,610000,省, , ,Yulin
331,面,玉林市,450900,玉林市,450900,地级市,广西壮族自治区,450000,自治区, , ,Yulin
332,面,玉树藏族自治州,632700,玉树藏族自治州,632700,自治州,青海省,630000,省, , ,Yushuzangzu
333,面,玉溪市,530400,玉溪市,530400,地级市,云南省,530000,省, , ,Yuxi
334,面,岳阳市,430600,岳阳市,430600,地级市,湖南省,430000,省, , ,Yueyang
335,面,云浮市,445300,云浮市,445300,地级市,广东省,440000,省, , ,Yunfu
336,面,运城市,140800,运城市,140800,地级市,山西省,140000,省,运城地区,2000年撤销运城地区 ，设立运城市,Yuncheng
337,面,枣庄市,370400,枣庄市,370400,地级市,山东省,370000,省, , ,Zaozhuang
338,面,湛江市,440800,湛江市,440800,地级市,广东省,440000,省, , ,Zhanjiang
339,面,张家界市,430800,张家界市,430800,地级市,湖南省,430000,省, , ,Zhangjiajie
340,面,张家口市,130700,张家口市,130700,地级市,河北省,130000,省, , ,Zhangjiakou
341,面,张掖市,620700,张掖市,620700,地级市,甘肃省,620000,省,张掖地区,2002年撤销张掖地区 ，设立张掖市,Zhangye
342,面,漳州市,350600,漳州市,350600,地级市,福建省,350000,省, , ,Zhangzhou
343,面,长春市,220100,长春市,220100,地级市,吉林省,220000,省, , ,Changchun
344,面,长沙市,430100,长沙市,430100,地级市,湖南省,430000,省, , ,Changsha
345,面,长治市,140400,长治市,140400,地级市,山西省,140000,省, , ,Changzhi
346,面,昭通市,530600,昭通市,530600,地级市,云南省,530000,省, , ,Zhaotong
347,面,肇庆市,441200,肇庆市,441200,地级市,广东省,440000,省, , ,Zhaoqing
348,面,镇江市,321100,镇江市,321100,地级市,江苏省,320000,省, , ,Zhenjiang
349,面,中山市,442000,中山市,442000,地级市,广东省,440000,省, , ,Zhongshan
350,面,中卫市,640500,中卫市,640500,地级市,宁夏回族自治区,640000,自治区,吴忠市,2003年吴忠市更名为中卫市,Zhongwei
351,面,重庆市,500000,不统计,0,不统计,重庆市,500000,直辖市, , ,Chongqing
352,面,舟山市,330900,舟山市,330900,地级市,浙江省,330000,省, , ,Zhoushan
353,面,周口市,411600,周口市,411600,地级市,河南省,410000,省,周口地区,2000年撤销周口地区，设立周口市,Zhoukou
354,面,珠海市,440400,珠海市,440400,地级市,广东省,440000,省, , ,Zhuhai
355,面,株洲市,430200,株洲市,430200,地级市,湖南省,430000,省, , ,Zhuzhou
356,面,驻马店市,411700,驻马店市,411700,地级市,河南省,410000,省,驻马店地区,2000年撤销驻马店地区，设立驻马店市,Zhumadian
357,面,资阳市,512000,资阳市,512000,地级市,四川省,510000,省, ,2016年资阳市简阳市改由成都市代管,Ziyang
358,面,淄博市,370300,淄博市,370300,地级市,山东省,370000,省, , ,Zibo
359,面,自贡市,510300,自贡市,510300,地级市,四川省,510000,省, , ,Zigong
360,面,遵义市,520300,遵义市,520300,地级市,贵州省,520000,省, , ,Zunyi
361,面,三沙市,460300,三沙市,460300,地级市,海南省,460000,省,海南省西沙群岛、南沙群岛、中沙群,2012年设立三沙市,Sansha
362,面,济宁市,370800,济宁市,370800,地级市,山东省,370000,省, , ,Jining
363,面,铁门关市,659006,不统计,0,不统计,新疆维吾尔自治区,650000,自治区, , ,Tiemenguan
364,面,徐州市,320300,徐州市,320300,地级市,江苏省,320000,省, , ,Xuzhou
365,面,新星市,659011,不统计,0,不统计,新疆维吾尔自治区,650000,自治区, ,2021年新设新星市,Xinxing
366,面,丹东市,210600,丹东市,210600,地级市,辽宁省,210000,省, , ,Dandong
367,面,郑州市,410100,郑州市,410100,地级市,河南省,410000,省, , ,Zhengzhou
368,面,白杨市,659012,不统计,0,不统计,新疆维吾尔自治区,650000,自治区,第九师,2023年新设白杨市,Baiyang
369,面,塔城地区,654200,塔城地区,654200,地区,新疆维吾尔自治区,650000,自治区, , ,Tacheng
370,面,阿坝藏族羌族自治州,513200,阿坝藏族羌族自治州,513200,自治州,四川省,510000,省, , ,Abazangzuqiangzu
371,面,台湾省,710000,不统计,0,不统计,台湾省,710000,省, , ,Taiwansheng
